;wheat_mass;Longitude;Latitude;wheat_mass_categorical
297;7750.4;5.585155287014503;48.77733309006789;7000-8000
298;7491.6;5.585148272302673;48.77734328350222;7000-8000
299;7531.2;5.585141617319656;48.77735300282141;7000-8000
300;7119.8;5.58513442274342;48.777362840666974;7000-8000
301;7203.5;5.58512704830278;48.77737267851061;7000-8000
302;7577.3;5.585119853726543;48.77738263488051;7000-8000
303;7427.1;5.58511301887912;48.777392472720265;7000-8000
304;7541.1;5.585105824302886;48.777402192029925;7000-8000
305;7895.1;5.5850980901334335;48.77741179280959;7000-8000
306;8306.2;5.585090535828385;48.77742151211552;8000-9000
307;7589.0;5.585083161387745;48.777431349947655;7000-8000
308;8139.9;5.585076146675916;48.7774410692498;8000-9000
309;8292.7;5.585069131964087;48.7774509070781;8000-9000
310;8278.0;5.585061397794633;48.77746050784844;8000-9000
311;7706.9;5.585054023353993;48.77747022714493;7000-8000
312;7842.4;5.585046109320134;48.77747982791157;7000-8000
313;7429.2;5.585037835557463;48.77748931014842;7000-8000
314;7781.2;5.585030281252416;48.77749902943934;7000-8000
315;8127.2;5.58502272694737;48.77750863020047;8000-9000
316;8147.1;5.585014633049105;48.77751823095977;8000-9000
317;8066.1;5.585006898879652;48.77752747613366;8000-9000
318;8049.5;5.584999704303417;48.77753660277801;8000-9000
319;8094.6;5.584991970133965;48.77754572942069;8000-9000
320;8459.3;5.584983696371294;48.77755485606171;8000-9000
321;8655.2;5.584975782337436;48.77756398270108;8000-9000
322;8142.6;5.5849685877612;48.7775733463943;8000-9000
323;8661.8;5.5849617529137765;48.7775821174471;8000-9000
324;7895.3;5.5849549180663525;48.77759136260922;7000-8000
325;7155.8;5.58494808321893;48.77760072629733;7000-8000
326;7864.2;5.584941248371506;48.77761008998368;7000-8000
327;8057.4;5.584934773252895;48.77761945366829;8000-9000
328;7814.4;5.584927398812254;48.77762893587878;7000-8000
329;7383.5;5.584919844507207;48.777638181032266;7000-8000
330;7430.9;5.584913009659783;48.77764742618406;7000-8000
331;7761.6;5.58490617481236;48.77765690838927;7000-8000
332;7128.2;5.584899160100531;48.77766627206514;7000-8000
333;7338.9;5.584892145388701;48.77767575426677;7000-8000
334;7224.6;5.584885130676872;48.777685117939136;7000-8000
335;7011.4;5.5848779361006375;48.77769436308228;7000-8000
336;7173.2;5.58487038179559;48.77770348969629;7000-8000
337;7986.7;5.584863187219356;48.7777129718909;7000-8000
338;7043.7;5.584855812778714;48.77772209850152;7000-8000
