;Région;Occupé;Larg.;Durée;Distance;Humidité;Mass_Yield;Flux_Blé_d;Productivi;Util._carb;Vites.;Direction;Header_Off;Rdmt_masse;Rdmt_humid;Rdmt_sec;Flux;Flux2;Altitude;Datage;Flux3;Flux4;Flux5;Flux6;Flux7;Flux8;Flux9;Flux:;"Flux;";Flux<;Flux=;Flux>;Longitude;Latitude
584;Boulinsard - 23/07/2021;T;2.13;1.0;0.29;13.1;6538.0;1.4;3.6;52.8;1.0;103.3;3.6;22276.0;22276.0;19369.0;4968.0;4319.7;259.54;1627044785.0;;;;;;;;;;;;;5.5866555360239385;48.77899435548872
585;Boulinsard - 23/07/2021;T;1.98;1.0;0.58;13.1;17401.0;2.4;3.6;50.4;1.9;123.6;3.7;21338.5;21338.5;18551.7;8820.0;7668.1;259.54;1627044786.0;;;;;;;;;;;;;5.5866620111425505;48.77899151090315
586;Boulinsard - 23/07/2021;T;1.98;1.0;0.49;13.1;17066.0;2.8;3.6;52.7;1.8;139.2;3.7;29136.1;29136.1;25331.0;10116.0;8794.9;259.55;1627044787.0;;;;;;;;;;;;;5.586666327888292;48.778988192219764
587;Boulinsard - 23/07/2021;T;5.49;1.0;0.71;13.1;17066.0;4.5;3.6;50.8;2.1;154.0;1.2;11648.7;11648.7;10128.6;16344.0;14211.1;259.56;1627044788.0;;;;;;;;;;;;;5.586670464769627;48.778982503047736
588;Boulinsard - 23/07/2021;T;7.93;1.0;0.51;13.1;27399.0;4.3;3.6;48.1;1.7;148.1;0.5;10753.5;10753.5;9349.1;15660.0;13614.8;259.58;1627044789.0;;;;;;;;;;;;;5.586674062057744;48.77897871026604
589;Boulinsard - 23/07/2021;T;9.15;1.0;0.57;13.1;24891.0;5.4;3.6;53.5;2.0;156.4;0.0;10378.4;10378.4;9022.9;19440.0;16901.1;259.56;1627044790.0;;;;;;;;;;;;;5.58667729961705;48.7789739692885
590;Boulinsard - 23/07/2021;T;9.15;1.0;0.53;13.1;29441.0;5.4;3.6;50.8;1.6;165.1;0.0;11267.1;11267.1;9796.7;19584.0;17028.3;259.58;1627044791.0;;;;;;;;;;;;;5.586679098261109;48.77896946535943
591;Boulinsard - 23/07/2021;T;9.15;1.0;0.34;13.0;30644.0;5.5;3.6;49.9;1.0;161.3;0.0;18065.5;18065.5;15724.2;19980.0;17390.6;259.6;1627044792.0;;;;;;;;;;;;;5.586680537176356;48.778966620772444
592;Boulinsard - 23/07/2021;T;9.15;1.0;0.48;12.9;12598.0;4.1;3.6;57.3;1.8;153.8;0.0;9407.7;9407.7;8197.9;14940.0;13018.7;259.59;1627044793.0;;;;;;;;;;;;;5.58668341500685;48.77896270946507
593;Boulinsard - 23/07/2021;T;9.15;1.0;0.61;12.8;11774.0;4.5;3.6;53.9;2.1;151.1;0.0;8139.1;8139.1;7096.5;16344.0;14250.3;259.62;1627044794.0;;;;;;;;;;;;;5.586687372023779;48.778957968486026
594;Boulinsard - 23/07/2021;T;9.15;1.0;0.56;12.8;10031.0;3.7;3.6;52.5;2.0;146.9;0.0;7308.9;7308.9;6373.3;13464.0;11740.6;259.62;1627044795.0;;;;;;;;;;;;;5.586691508905115;48.77895370160451
595;Boulinsard - 23/07/2021;T;9.15;1.0;0.61;12.7;8588.0;4.2;3.6;57.9;2.3;148.4;0.0;7451.3;7451.3;6502.0;15048.0;13130.9;259.59;1627044796.0;;;;;;;;;;;;;5.586696005515261;48.778949079149115
596;Boulinsard - 23/07/2021;T;9.15;1.0;0.59;12.7;9906.0;4.5;3.6;55.4;2.2;146.6;0.0;8377.1;8377.1;7317.4;16308.0;14245.0;259.6;1627044797.0;;;;;;;;;;;;;5.586700322261002;48.7789445752178
597;Boulinsard - 23/07/2021;T;9.15;1.0;0.59;12.6;9525.0;5.1;3.6;57.5;2.1;145.7;0.0;9386.6;9386.6;8203.9;18216.0;15920.8;259.62;1627044798.0;;;;;;;;;;;;;5.586704998735555;48.77894030833514
598;Boulinsard - 23/07/2021;T;9.15;1.0;0.52;12.6;13303.0;5.4;3.6;56.1;1.8;143.9;0.0;11313.4;11313.4;9889.0;19332.0;16898.1;259.63;1627044799.0;;;;;;;;;;;;;5.586709135616891;48.77893651555026
599;Boulinsard - 23/07/2021;T;9.15;1.0;0.47;12.6;12648.0;6.1;3.6;58.4;1.8;144.8;0.0;14196.9;14196.9;12409.6;21960.0;19195.2;259.64;1627044800.0;;;;;;;;;;;;;5.586712732905008;48.778933078338696
600;Boulinsard - 23/07/2021;T;9.15;1.0;0.53;12.6;14014.0;6.4;3.6;54.9;1.9;150.5;0.0;13325.5;13325.5;11646.5;23076.0;20168.4;259.64;1627044801.0;;;;;;;;;;;;;5.586716330193126;48.77892892997961
601;Boulinsard - 23/07/2021;T;9.15;1.0;0.51;12.7;13845.0;6.6;3.6;55.3;1.9;150.5;0.0;14251.2;14251.2;12445.6;23796.0;20781.0;259.63;1627044802.0;;;;;;;;;;;;;5.586719747616837;48.7789250186693
602;Boulinsard - 23/07/2021;T;9.15;1.0;0.52;12.8;13884.0;6.6;3.6;51.7;1.8;154.6;0.0;13944.5;13944.5;12163.8;23904.0;20851.5;259.65;1627044803.0;;;;;;;;;;;;;5.586722805311737;48.77892075178497
603;Boulinsard - 23/07/2021;T;9.15;1.0;0.63;12.8;8898.0;6.6;3.6;62.3;2.3;152.3;0.0;11474.0;11474.0;10000.7;23868.0;20803.3;259.68;1627044804.0;;;;;;;;;;;;;5.586726762328667;48.7789157737528
604;Boulinsard - 23/07/2021;T;9.15;1.0;0.95;12.9;8743.0;7.3;3.6;61.2;3.4;155.3;0.0;8367.7;8367.7;7289.9;26316.0;22926.5;259.67;1627044805.0;;;;;;;;;;;;;5.586732158260843;48.77890795112983
605;Boulinsard - 23/07/2021;T;9.15;1.0;0.92;12.9;8540.0;7.1;3.6;55.2;3.3;143.4;0.0;8409.9;8409.9;7324.2;25524.0;22228.9;259.68;1627044806.0;;;;;;;;;;;;;5.5867397125658895;48.778901313751795
606;Boulinsard - 23/07/2021;T;9.15;1.0;0.81;12.9;9553.0;7.0;3.6;57.5;2.7;149.7;0.0;9528.0;9528.0;8295.1;25380.0;22095.8;259.72;1627044807.0;;;;;;;;;;;;;5.586745288362471;48.77889503194678
607;Boulinsard - 23/07/2021;T;9.15;1.0;0.9;13.0;9553.0;7.0;3.6;68.9;3.3;147.7;0.0;8482.5;8482.5;7378.9;25128.0;21858.8;259.71;1627044808.0;;;;;;;;;;;;;5.586751763481085;48.778888157517756
608;Boulinsard - 23/07/2021;T;9.15;1.0;0.89;13.1;8618.0;7.1;3.6;66.6;3.2;149.2;0.0;8711.9;8711.9;7571.5;25596.0;22245.5;259.75;1627044809.0;;;;;;;;;;;;;5.58675805873529;48.77888128308779
609;Boulinsard - 23/07/2021;T;9.15;1.0;0.93;13.0;8128.0;6.7;3.6;68.0;3.3;145.1;0.0;7959.6;7959.6;6921.7;24264.0;21100.0;259.75;1627044810.0;;;;;;;;;;;;;5.586765253311525;48.77887452718156
610;Boulinsard - 23/07/2021;T;9.15;1.0;0.88;13.0;8525.0;7.1;3.6;71.8;3.1;147.5;0.0;8789.9;8789.9;7645.5;25416.0;22106.8;259.77;1627044811.0;;;;;;;;;;;;;5.586771728430137;48.77886788979911
611;Boulinsard - 23/07/2021;T;9.15;1.0;0.92;13.1;8446.0;7.0;3.6;73.2;3.3;147.8;0.0;8352.8;8352.8;7261.1;25200.0;21906.4;259.8;1627044812.0;;;;;;;;;;;;;5.586778383413154;48.77886089684166
612;Boulinsard - 23/07/2021;T;9.15;1.0;0.9;13.1;8761.0;7.2;3.6;77.1;3.1;148.0;0.0;8792.6;8792.6;7638.1;25956.0;22548.0;259.86;1627044813.0;;;;;;;;;;;;;5.586784858531766;48.77885402240795
613;Boulinsard - 23/07/2021;T;9.15;1.0;0.91;13.1;9705.0;8.0;3.6;74.5;3.3;146.9;0.0;9623.5;9623.5;8358.9;28836.0;25046.9;259.89;1627044814.0;;;;;;;;;;;;;5.586791513514783;48.77884726649805
614;Boulinsard - 23/07/2021;T;9.15;1.0;0.94;13.1;8102.0;7.6;3.6;78.3;3.4;149.0;0.0;8786.9;8786.9;7632.3;27252.0;23671.1;259.95;1627044815.0;;;;;;;;;;;;;5.5867981684978005;48.77883991796344
615;Boulinsard - 23/07/2021;T;9.15;1.0;1.05;13.1;8102.0;8.5;3.6;73.8;3.8;149.2;0.0;8874.6;8874.6;7708.5;30708.0;26673.0;259.96;1627044816.0;;;;;;;;;;;;;5.586805542938442;48.77883185827908
